startdate,usertype,gender,min_trip,max_trip,avg_trip
2020-12-01,Customer,female,419,4990,1183.1
2020-12-01,Customer,male,206,55150,3161.923076923077
2020-12-01,Customer,undisclosed,162,3130,966.9137931034483
2020-12-01,Subscriber,female,91,17454,664.2611940298508
2020-12-01,Subscriber,male,79,77011,820.3219373219373
2020-12-01,Subscriber,undisclosed,555,662,608.5
2020-12-02,Customer,female,371,3755,1330.3333333333333
2020-12-02,Customer,male,191,4510,782.1052631578947
2020-12-02,Customer,undisclosed,189,32634,1781.8125
2020-12-02,Subscriber,female,72,7301,744.8295454545455
2020-12-02,Subscriber,male,65,4167,527.9012345679013
2020-12-02,Subscriber,undisclosed,151,1233,819.8571428571429
2020-12-03,Customer,female,247,2844,1007.0625
2020-12-03,Customer,male,182,5834,1287.7391304347825
2020-12-03,Customer,undisclosed,156,11570,1349.5
2020-12-03,Subscriber,female,94,3773,582.3465346534654
2020-12-03,Subscriber,male,61,7588,589.724043715847
2020-12-03,Subscriber,undisclosed,400,2066,841.8333333333334
2020-12-04,Customer,female,550,4661,1599.5
2020-12-04,Customer,male,145,2332,877.34375
2020-12-04,Customer,undisclosed,222,2669,806.0512820512821
2020-12-04,Subscriber,female,101,3273,548.2625
2020-12-04,Subscriber,male,75,12800,736.7759336099585
2020-12-04,Subscriber,undisclosed,795,795,795.0
2020-12-05,Customer,female,360,4671,1408.5882352941176
2020-12-05,Customer,male,186,34426,2123.451612903226
2020-12-05,Customer,undisclosed,62,2056977,44795.59574468085
2020-12-05,Subscriber,female,122,3172,571.2131147540983
2020-12-05,Subscriber,male,83,4898,667.4129353233831
2020-12-05,Subscriber,undisclosed,326,2039,1360.8333333333333
2020-12-06,Customer,female,166,10111,1895.5263157894738
2020-12-06,Customer,male,205,13363,1811.235294117647
2020-12-06,Customer,undisclosed,193,158172,4365.306666666666
2020-12-06,Subscriber,female,73,3166,741.3245614035088
2020-12-06,Subscriber,male,69,4096,763.863436123348
2020-12-06,Subscriber,undisclosed,241,1767,1024.5714285714287
2020-12-07,Customer,female,314,3344,1245.0
2020-12-07,Customer,male,265,2924,831.6666666666666
2020-12-07,Customer,undisclosed,155,4011,1093.2380952380952
2020-12-07,Subscriber,female,99,1894,501.65168539325845
2020-12-07,Subscriber,male,69,4045,581.5213114754098
2020-12-07,Subscriber,undisclosed,856,856,856.0
2020-12-08,Customer,female,452,2887,1093.25
2020-12-08,Customer,male,212,179111,9642.857142857143
2020-12-08,Customer,undisclosed,131,5260,1147.0
2020-12-08,Subscriber,female,110,13353,692.1910112359551
2020-12-08,Subscriber,male,103,3420,522.3389261744967
2020-12-08,Subscriber,undisclosed,683,683,683.0
2020-12-09,Customer,female,1250,4063,2656.5
2020-12-09,Customer,male,238,6855,1305.7368421052631
2020-12-09,Customer,undisclosed,173,2362,892.5
2020-12-09,Subscriber,female,63,2078,557.0588235294117
2020-12-09,Subscriber,male,75,2874,483.3625498007968
