startdate,usertype,gender,min_trip,max_trip,avg_trip
2020-12-01,Customer,female,66,1881823,2579.0013802622498
2020-12-01,Customer,male,61,1931492,1910.193297224103
2020-12-01,Customer,undisclosed,62,414233,1351.6559748427674
2020-12-01,Subscriber,female,61,457200,966.2323255285293
2020-12-01,Subscriber,male,61,1669088,927.1968261035491
2020-12-01,Subscriber,undisclosed,71,86405,910.3534994068802
2020-12-02,Customer,female,64,271499,1453.38018018018
2020-12-02,Customer,male,70,1818207,1919.3887679582062
2020-12-02,Customer,undisclosed,61,65162,1011.6139850160542
2020-12-02,Subscriber,female,61,412464,852.0035277921183
2020-12-02,Subscriber,male,61,116417,721.2969745500122
2020-12-02,Subscriber,undisclosed,62,7470,772.3522580645161
2020-12-03,Customer,female,61,332250,1595.2859097127223
2020-12-03,Customer,male,61,840091,1767.7631394533987
2020-12-03,Customer,undisclosed,61,858380,1515.5300699300699
2020-12-03,Subscriber,female,61,186130,875.795850117808
2020-12-03,Subscriber,male,61,1376379,839.5940413262855
2020-12-03,Subscriber,undisclosed,65,9271,745.8244620611551
2020-12-04,Customer,female,71,2687593,5629.708203530633
2020-12-04,Customer,male,68,1511359,2070.335652173913
2020-12-04,Customer,undisclosed,62,145497,1138.9973231357553
2020-12-04,Subscriber,female,61,341694,856.4327437268614
2020-12-04,Subscriber,male,61,964207,832.0451703722105
2020-12-04,Subscriber,undisclosed,62,111752,924.2696793002915
2020-12-05,Customer,female,61,2107204,3880.0761078998075
2020-12-05,Customer,male,63,378493,1571.2050854522718
2020-12-05,Customer,undisclosed,62,955990,2026.3241451500348
2020-12-05,Subscriber,female,61,173206,898.4905971173645
2020-12-05,Subscriber,male,61,2607463,1078.4745389950938
2020-12-05,Subscriber,undisclosed,61,27201,831.4016393442623
2020-12-06,Customer,female,61,728617,2106.3140153755176
2020-12-06,Customer,male,67,227151,1550.0869875222816
2020-12-06,Customer,undisclosed,61,1053343,2171.43776371308
2020-12-06,Subscriber,female,61,87290,929.2982281505076
2020-12-06,Subscriber,male,61,247574,823.7114737472917
2020-12-06,Subscriber,undisclosed,62,4226,820.8784916201117
2020-12-07,Customer,female,75,925332,2398.4425087108016
2020-12-07,Customer,male,61,81208,1032.761514841351
2020-12-07,Customer,undisclosed,63,689274,1633.3577047663118
2020-12-07,Subscriber,female,62,413066,863.1591083046306
2020-12-07,Subscriber,male,61,254221,744.8343914099851
2020-12-07,Subscriber,undisclosed,63,3457,754.4775193798449
2020-12-08,Customer,female,80,77530,1394.719381688466
2020-12-08,Customer,male,64,339012,1542.974372955289
2020-12-08,Customer,undisclosed,61,636719,1388.605561277034
2020-12-08,Subscriber,female,61,170669,818.6926229508197
2020-12-08,Subscriber,male,61,2057647,802.6101774407879
